餐廳分類,餐廳名稱,美味特色
津輕拉麵,まるかい (Marukai),1956年創業老店，湯頭帶有強烈的魚乾醬油風味。
津輕拉麵,たかはし中華そば店,1982年創立，以極度濃郁、充滿力道的魚乾湯頭聞名。
津輕拉麵,くどうラーメン,1948年創業，早上8點即營業，是當地人喜愛的溫和早晨拉麵。
津輕拉麵,緑屋 (Midoriya),保留昔日理髮廳奇妙裝潢，提供帶有甜味的高湯與手工細麵。
津輕拉麵,中華そば ひらこ屋,極具人氣的排隊名店，濃郁的魚乾湯頭吸引大量饕客。
津輕拉麵,麺や ゼットン (Zetton),青森市內人氣極高的煮干し拉麵名店，體驗當地特色的絕佳選擇。
味噌咖哩牛奶,札幌館 (Sapporokan),創始人傾注熱情的名店，木造小木屋風格，香料味層次豐富。
味噌咖哩牛奶,味の札幌 大西,市區人氣最高的排隊名店，推薦加入隱藏版配料「納豆」增添旨味。
味噌咖哩牛奶,味の札幌 浅利,麵條較粗且有嚼勁，口味偏辛辣，也有哈瓦那辣椒的「南蠻拉麵」。
味噌咖哩牛奶,かわら (Kawara),創始人直傳弟子開設，口味地道，另有加入紫蘇梅的「梅子拉麵」。
味噌咖哩牛奶,ラーメン 蔵 (Ramen Kura),湯頭純淨無浮渣，加入白芝麻，強烈推薦加入現磨大蒜昇華風味。
味噌咖哩牛奶,味の札幌 分店,完美中和味噌與咖哩的濃膩，現炒豆芽菜香氣迷人，讓人一口接一口。
海鮮與食堂,市場食堂,位於Auga地下新鮮市場，主打厚切生魚片，海鮮丼性價比極高。
海鮮與食堂,丸青食堂,同位於Auga市場內，除了海鮮定食，高湯熬製的「特製咖哩飯」也是招牌。
海鮮與食堂,もりや商店,當地美食網站評價名列前茅，提供青森縣產海膽、鮭魚卵等時令鮮魚。
海鮮與食堂,青森きっちん POPE,結合大眾食堂與海鮮居酒屋特色，海鮮丼份量十足，深受上班族喜愛。
海鮮與食堂,魚っ喰いの田 ワ・ラッセ店,位於「睡魔之家」一樓，觀賞完祭典燈籠後可直接享用新鮮握壽司。
海鮮與食堂,柿源,歷史悠久的老字號店鋪，提供海鮮丼與多樣化的青森在地鄉土料理。
居酒屋鄉土料理,六兵衛 (Rokubee),營業超過40年的地下室居酒屋，充滿昭和人情味，名物「貝燒味噌」必點。
居酒屋鄉土料理,食事処/居酒屋 おさない,青森站前排隊名店，以極品「帆立貝料理」（生食、奶油煎干貝）聞名。
居酒屋鄉土料理,助六 青森駅前店,炭火串燒與仙貝汁鍋為看板菜單，裝潢融合和風摩登與傳統工藝。
居酒屋鄉土料理,ねぶたの國 たか久,五感全開的體驗！可一邊享用鄉土料理，一邊欣賞津輕三味線與睡魔祭表演。
居酒屋鄉土料理,七兵衛や (Shichibeeya),「無菜單鄉土料理套餐」CP值極高，能輕鬆享受老闆挑選的當季海產。
居酒屋鄉土料理,居酒屋ふく郎,店內裝飾魄力十足的睡魔燈籠，提供豐富地酒，感受青森祭典的微醺之夜。
蘋果派與甜點,大正浪漫喫茶室,位於弘前大正時代洋館，匯集市內多家名店蘋果派，提供多達9種選擇。
蘋果派與甜點,弘大カフェ 成田専蔵珈琲店,歷史文化財改建的木造空間，主打手沖咖啡與「紅玉」品種蘋果派。
蘋果派與甜點,sweets garden hiroya,傳承50年的老字號甜點店，蘋果派外皮酥脆、酸甜適中。
蘋果派與甜點,タムラファーム りんごの家,邊賞蘋果園邊品嚐農場直營的熱騰騰果肉飽滿蘋果派。
蘋果派與甜點,シャロン洋菓子店,充滿復古情懷的傳統洋菓子店，蘋果派與懷舊奶油蛋糕皆極受歡迎。
蘋果派與甜點,A-Factory (スキップエッグ),青森車站海邊的文青商場內，使用青森鮮採蘋果製作甜點，適合等車時休憩。
