景點分類,景點名稱,亮點特色
青森市區：藝術、歷史與祭典,睡魔之家 WA-RASSE,了解青森靈魂「睡魔祭」的完美起點，可近距離觀賞大型睡魔燈籠，並體驗太鼓演奏與吆喝聲。
青森市區：藝術、歷史與祭典,A-FACTORY,位於站前海濱區，擁有獲優良設計獎的三角屋頂，是購買豐富蘋果製品與伴手禮的絕佳去處。
青森市區：藝術、歷史與祭典,特別史跡 三內丸山遺跡,日本最大規模的繩文時代聚落遺跡，為世界文化遺產，園區復原了大型掘立柱建築與豎穴式住居。
青森市區：藝術、歷史與祭典,青森縣立美術館,緊鄰遺跡，建築靈感來自考古溝壕，必看亮點為奈良美智的巨型立體作品「青森犬」。
青森市區：藝術、歷史與祭典,善知鳥神社,擁有千年歷史，被視為青森市街的守護神，是感受當地信仰的寧靜聖地。
絕美大自然與戶外探索,白神山地,世界自然遺產，擁有世界最大規模的山毛櫸原生林，並提供多種難度的健行步道。
絕美大自然與戶外探索,青池（十二湖）,隱身於白神山地中，池水呈現神秘透亮的鈷藍色，在陽光照射下彷彿閃耀著全息投影般的光芒。
絕美大自然與戶外探索,奧入瀬溪流,綿延 14 公里的散步道，沿途有「銚子大瀑布」與「阿修羅之流」，夏季避暑、秋季賞楓皆宜。
絕美大自然與戶外探索,十和田湖,約 20 萬年前火山噴發形成的破火山口湖，不僅是賞楓名所，還可體驗遊覽船與獨木舟。
絕美大自然與戶外探索,八甲田山,搭乘纜車可將連峰盡收眼底，享受空中漫步；冬季更有高達 10 公尺的壯觀「雪之迴廊」。
絕美大自然與戶外探索,龍飛崎,位於津輕半島最前端的斷崖絕壁，常有強風，天氣好時甚至能跨越津輕海峽遠眺北海道。
歷史巡禮與溫泉秘境,弘前城（弘前公園）,日本三大賞櫻名勝之一，園內種植約 2,600 棵櫻花樹，天守閣與城門更被指定為國家重要文化財。
歷史巡禮與溫泉秘境,鶴之舞橋,全長 300 公尺的日本最長木造三連太鼓橋，優美拱形與自然景觀輝映，被視為戀愛結緣的能量景點。
歷史巡禮與溫泉秘境,恐山,與高野山、比叡山並列「日本三大靈山」，遍佈荒涼岩石與硫磺泉，特殊的「地獄巡禮」景觀令人難忘。
歷史巡禮與溫泉秘境,淺蟲溫泉,有「東北熱海」之稱，能同時享受陸奧灣海景、絕美夕陽與優質溫泉，車站前還設有免費足湯。
歷史巡禮與溫泉秘境,淺蟲水族館,位於淺蟲溫泉區，提供充滿在地風情的海豚秀與海洋體驗，是適合各年齡層的休閒據點。
歷史巡禮與溫泉秘境,太宰治紀念館「斜陽館」,知名作家太宰治的出生豪宅，保留了明治時代的近代和風建築，並展示其珍貴的直筆原稿。
